episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.0694582462310791
2,100,-50.0,50.0,0.1330246925354004
3,150,-50.0,50.0,0.19214868545532227
4,200,-50.0,50.0,0.25001096725463867
5,250,-50.0,50.0,0.30363011360168457
6,300,-50.0,50.0,0.35643601417541504
7,350,-50.0,50.0,0.4040493965148926
8,400,-50.0,50.0,0.45035839080810547
9,450,-50.0,50.0,0.5051429271697998
10,500,-50.0,50.0,0.5512332916259766
11,550,-50.0,50.0,0.6008212566375732
12,600,0.0,50.0,0.6509933471679688
13,650,-50.0,50.0,0.7033238410949707
14,700,-50.0,50.0,0.7536799907684326
15,750,-50.0,50.0,0.8009610176086426
16,800,-50.0,50.0,0.852137565612793
17,850,-50.0,50.0,0.9032313823699951
18,900,-50.0,50.0,0.9601881504058838
19,950,-50.0,50.0,1.0177671909332275
20,1000,-50.0,50.0,1.067861557006836
21,1050,-50.0,50.0,1.1189823150634766
22,1100,-50.0,50.0,1.1675825119018555
23,1150,-50.0,50.0,1.230708360671997
24,1200,-50.0,50.0,1.2823858261108398
25,1250,-50.0,50.0,1.333282709121704
26,1300,-50.0,50.0,1.385927677154541
27,1350,-50.0,50.0,1.4412453174591064
28,1400,-50.0,50.0,1.494809865951538
29,1450,-50.0,50.0,1.5444018840789795
30,1500,-50.0,50.0,1.5954194068908691
31,1550,-50.0,50.0,1.6461889743804932
32,1600,-50.0,50.0,1.6960997581481934
33,1650,-50.0,50.0,1.7476046085357666
34,1700,-50.0,50.0,1.8043239116668701
35,1750,-50.0,50.0,1.8625848293304443
36,1800,-50.0,50.0,1.9127311706542969
37,1850,-50.0,50.0,1.967888355255127
38,1900,-50.0,50.0,2.021733283996582
39,1950,-50.0,50.0,2.0743799209594727
40,2000,-50.0,50.0,2.124037265777588
41,2050,-50.0,50.0,2.175637722015381
42,2100,-50.0,50.0,2.2316977977752686
43,2150,-50.0,50.0,2.286376953125
44,2200,-50.0,50.0,2.339092493057251
45,2250,-50.0,50.0,2.402214288711548
46,2300,-33.0,50.0,2.452876567840576
47,2350,0.0,50.0,2.5064966678619385
48,2400,-50.0,50.0,2.559687852859497
49,2450,-50.0,50.0,2.6125025749206543
50,2500,-50.0,50.0,2.665337085723877
51,2550,-50.0,50.0,2.7159695625305176
52,2600,-50.0,50.0,2.765578269958496
53,2650,-50.0,50.0,2.8154382705688477
54,2700,-50.0,50.0,2.86205792427063
55,2750,-50.0,50.0,2.912792444229126
56,2800,-50.0,50.0,2.9602577686309814
57,2850,-50.0,50.0,3.0138723850250244
58,2900,0.0,50.0,3.066537380218506
59,2950,-50.0,50.0,3.1161177158355713
60,3000,-50.0,50.0,3.175476551055908
61,3050,-50.0,50.0,3.224748373031616
62,3100,-50.0,50.0,3.2744061946868896
63,3150,-50.0,50.0,3.324092388153076
64,3200,-50.0,50.0,3.374420642852783
65,3250,-50.0,50.0,3.425217866897583
66,3300,-50.0,50.0,3.4793245792388916
67,3350,-50.0,50.0,3.5416853427886963
68,3400,-50.0,50.0,3.591348886489868
69,3450,-50.0,50.0,3.6410045623779297
70,3500,-50.0,50.0,3.6916379928588867
71,3550,-50.0,50.0,3.756754159927368
72,3600,-50.0,50.0,3.8099303245544434
73,3650,-50.0,50.0,3.8656201362609863
74,3700,-50.0,50.0,3.9201500415802
75,3750,0.0,50.0,3.9738192558288574
76,3800,-50.0,50.0,4.026064157485962
77,3850,-50.0,50.0,4.075661659240723
78,3900,-50.0,50.0,4.130351305007935
79,3950,-50.0,50.0,4.182992935180664
80,4000,-50.0,50.0,4.243671894073486
81,4050,-50.0,50.0,4.293341875076294
82,4100,-50.0,50.0,4.344322204589844
83,4150,-50.0,50.0,4.396125316619873
84,4200,-50.0,50.0,4.447263956069946
85,4250,-50.0,50.0,4.495972156524658
86,4300,-50.0,50.0,4.543365240097046
87,4350,-50.0,50.0,4.594268321990967
88,4400,-50.0,50.0,4.643339157104492
89,4450,-50.0,50.0,4.6890175342559814
90,4500,-50.0,50.0,4.741664886474609
91,4550,-50.0,50.0,4.797061920166016
92,4600,-50.0,50.0,4.848715782165527
93,4650,-50.0,50.0,4.90353798866272
94,4700,-50.0,50.0,4.959178686141968
95,4750,-50.0,50.0,5.014012813568115
96,4800,-50.0,50.0,5.064093589782715
97,4850,-50.0,50.0,5.124328136444092
98,4900,-50.0,50.0,5.174404859542847
99,4950,-50.0,50.0,5.229244709014893
100,5000,-50.0,50.0,5.2803168296813965
101,5050,-50.0,50.0,6.082958459854126
102,5100,0.0,50.0,6.146885395050049
103,5150,-50.0,50.0,6.209538459777832
104,5200,-50.0,50.0,6.263524293899536
105,5250,-50.0,50.0,6.314360857009888
106,5300,-50.0,50.0,6.36454701423645
107,5350,-50.0,50.0,6.41595196723938
108,5400,-50.0,50.0,6.477251291275024
109,5450,0.0,50.0,6.5391974449157715
110,5500,0.0,50.0,6.594835519790649
111,5550,-50.0,50.0,6.657445430755615
112,5600,0.0,50.0,6.7128660678863525
113,5650,-50.0,50.0,6.76696252822876
114,5700,-50.0,50.0,6.819076061248779
115,5750,-49.0,50.0,6.867675542831421
116,5800,-50.0,50.0,6.92281436920166
117,5850,-50.0,50.0,6.980640411376953
118,5900,-50.0,50.0,7.028434991836548
119,5950,-50.0,50.0,7.076520204544067
120,6000,-50.0,50.0,7.131383419036865
