episode,step,episodic_return,episode_length,elapsed_sec
1,50,-9.382022034368052,50.0,0.07076239585876465
2,100,-13.35529401620288,50.0,0.1293013095855713
3,150,-1.3358231501963413,50.0,0.18792080879211426
4,200,-5.675792058070563,50.0,0.237990140914917
5,250,-5.108567179763694,50.0,0.2881441116333008
6,300,-7.244169805315643,50.0,0.33947086334228516
7,350,-12.370428714568332,50.0,0.3886542320251465
8,400,-16.540218972271674,50.0,0.43479156494140625
9,450,-11.480673518527508,50.0,0.482114315032959
10,500,-0.9733542473631986,50.0,0.5373866558074951
11,550,-9.542185588897201,50.0,0.586961030960083
12,600,-0.91719599045078,50.0,0.6361970901489258
13,650,-13.165606061429555,50.0,0.6862914562225342
14,700,-11.319920502125164,50.0,0.7377946376800537
15,750,-13.116087382285151,50.0,0.7843570709228516
16,800,-11.958102488200689,50.0,0.8329293727874756
17,850,-10.393711450306114,50.0,0.882493257522583
18,900,-3.027017651827784,50.0,0.9305698871612549
19,950,-5.642438094213581,50.0,0.9801487922668457
20,1000,-9.254862012655114,50.0,1.0286624431610107
21,1050,-9.319221399947926,50.0,1.0793166160583496
22,1100,-3.307880839673505,50.0,1.1261963844299316
23,1150,-12.228034397238185,50.0,1.1768460273742676
24,1200,-8.669198224383834,50.0,1.2261145114898682
25,1250,-9.830069276655184,50.0,1.2766528129577637
26,1300,-11.837068186081305,50.0,1.3277428150177002
27,1350,-11.277377145903511,50.0,1.374119758605957
28,1400,-8.608834997044712,50.0,1.426286220550537
29,1450,-14.17390245465136,50.0,1.4748680591583252
30,1500,-14.630013586450012,50.0,1.5242581367492676
31,1550,-6.149772146950204,50.0,1.571873426437378
32,1600,-4.729210070887871,50.0,1.6185894012451172
33,1650,-11.592684539375828,50.0,1.6681632995605469
34,1700,-18.72873696726948,50.0,1.7164461612701416
35,1750,-12.177681176281014,50.0,1.7645823955535889
36,1800,-2.700118552060737,50.0,1.8125393390655518
37,1850,-6.0697946570396955,50.0,1.8603301048278809
38,1900,-1.2649791500116043,50.0,1.9101927280426025
39,1950,-2.8643308912787075,50.0,1.9618453979492188
40,2000,-8.965436162366025,50.0,2.010037422180176
41,2050,-8.605846487170389,50.0,2.060702323913574
42,2100,-10.197939842428909,50.0,2.1128931045532227
43,2150,-13.72950884496662,50.0,2.164553642272949
44,2200,-5.181408929764418,50.0,2.2146899700164795
45,2250,-2.9688570728285715,50.0,2.261371612548828
46,2300,-10.678617509070778,50.0,2.308567762374878
47,2350,-10.916118831421487,50.0,2.3592147827148438
48,2400,-5.778397574393216,50.0,2.410259962081909
49,2450,-3.5080682476958946,50.0,2.461026668548584
50,2500,-15.865701941468412,50.0,2.511094331741333
51,2550,-12.512481562605576,50.0,2.561657428741455
52,2600,-3.6444298842473564,50.0,2.6094887256622314
53,2650,-10.952792269792575,50.0,2.659756898880005
54,2700,-13.180967355769566,50.0,2.707867383956909
55,2750,-3.4697082292186354,50.0,2.760529041290283
56,2800,-11.509109973140555,50.0,2.806370973587036
57,2850,-2.4536254843164085,50.0,2.8561179637908936
58,2900,-10.860714197494838,50.0,2.901798963546753
