episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.05462193489074707
2,100,-50.0,50.0,0.1061558723449707
3,150,-50.0,50.0,0.16371536254882812
4,200,-50.0,50.0,0.20877313613891602
5,250,-39.0,50.0,0.253986120223999
6,300,-50.0,50.0,0.3030412197113037
7,350,-50.0,50.0,0.34638547897338867
8,400,-50.0,50.0,0.388580322265625
9,450,-50.0,50.0,0.43176865577697754
10,500,-50.0,50.0,0.47440648078918457
11,550,-50.0,50.0,0.5155279636383057
12,600,-50.0,50.0,0.5587501525878906
13,650,-50.0,50.0,0.6039834022521973
14,700,-42.0,50.0,0.6477158069610596
15,750,-50.0,50.0,0.6888778209686279
16,800,-50.0,50.0,0.7315237522125244
17,850,-50.0,50.0,0.7751109600067139
18,900,-50.0,50.0,0.8163671493530273
19,950,-50.0,50.0,0.8586905002593994
20,1000,-50.0,50.0,0.9007487297058105
21,1050,-49.0,50.0,0.9437053203582764
22,1100,-50.0,50.0,0.9838235378265381
23,1150,-50.0,50.0,1.027942419052124
24,1200,-47.0,50.0,1.071650505065918
25,1250,-50.0,50.0,1.1153860092163086
26,1300,-50.0,50.0,1.1615488529205322
27,1350,-50.0,50.0,1.2042312622070312
28,1400,-50.0,50.0,1.2505724430084229
29,1450,-50.0,50.0,1.2947218418121338
30,1500,-50.0,50.0,1.3393490314483643
31,1550,-50.0,50.0,1.3821582794189453
32,1600,-50.0,50.0,1.4233088493347168
33,1650,-50.0,50.0,1.465968132019043
34,1700,-50.0,50.0,1.5090947151184082
35,1750,-50.0,50.0,1.5517463684082031
36,1800,-50.0,50.0,1.5939772129058838
37,1850,-50.0,50.0,1.6404080390930176
38,1900,-50.0,50.0,1.6856470108032227
39,1950,-50.0,50.0,1.732835054397583
40,2000,-39.0,50.0,1.7749557495117188
41,2050,-50.0,50.0,1.818025827407837
42,2100,-50.0,50.0,1.8623409271240234
43,2150,-50.0,50.0,1.9074606895446777
44,2200,-50.0,50.0,1.9501032829284668
