episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.12378573417663574
2,100,-50.0,50.0,0.25046229362487793
3,150,-50.0,50.0,0.34648728370666504
4,200,-50.0,50.0,0.4587538242340088
5,250,-50.0,50.0,0.5891785621643066
6,300,-50.0,50.0,0.7052185535430908
7,350,-50.0,50.0,0.7944226264953613
8,400,-50.0,50.0,0.8915491104125977
9,450,-50.0,50.0,1.0138814449310303
10,500,-50.0,50.0,1.1185681819915771
11,550,-50.0,50.0,1.2183277606964111
12,600,-50.0,50.0,1.31597900390625
13,650,-50.0,50.0,1.411994457244873
14,700,-50.0,50.0,1.4998085498809814
15,750,-50.0,50.0,1.5838491916656494
16,800,-50.0,50.0,1.6746816635131836
17,850,-50.0,50.0,1.763770341873169
18,900,-50.0,50.0,1.8499641418457031
19,950,-50.0,50.0,1.9338326454162598
20,1000,-50.0,50.0,2.0145883560180664
21,1050,-50.0,50.0,2.1061017513275146
22,1100,-50.0,50.0,2.188930034637451
23,1150,-50.0,50.0,2.3147132396698
24,1200,-50.0,50.0,2.4119303226470947
25,1250,-50.0,50.0,2.497542142868042
26,1300,-50.0,50.0,2.5946974754333496
27,1350,-50.0,50.0,2.6869099140167236
28,1400,-50.0,50.0,2.78080153465271
29,1450,-50.0,50.0,2.869215965270996
30,1500,-50.0,50.0,2.96372389793396
31,1550,-50.0,50.0,3.044912815093994
32,1600,-50.0,50.0,3.134600877761841
33,1650,-50.0,50.0,3.2327258586883545
34,1700,-50.0,50.0,3.3209502696990967
35,1750,-50.0,50.0,3.408771514892578
36,1800,-50.0,50.0,3.5027899742126465
37,1850,-50.0,50.0,3.59389328956604
38,1900,-50.0,50.0,3.6852972507476807
39,1950,-50.0,50.0,3.7794899940490723
40,2000,-50.0,50.0,3.8816308975219727
41,2050,-50.0,50.0,3.973531723022461
42,2100,-50.0,50.0,4.060968399047852
43,2150,-50.0,50.0,4.153147220611572
44,2200,-50.0,50.0,4.244720458984375
45,2250,-50.0,50.0,4.3238365650177
46,2300,-50.0,50.0,4.405669927597046
47,2350,-50.0,50.0,4.499377012252808
48,2400,-50.0,50.0,4.61974573135376
49,2450,-50.0,50.0,4.727849960327148
50,2500,-50.0,50.0,4.818860054016113
51,2550,-50.0,50.0,4.910533666610718
52,2600,-50.0,50.0,5.008533477783203
53,2650,-50.0,50.0,5.096497058868408
54,2700,-50.0,50.0,5.1780149936676025
55,2750,-50.0,50.0,5.262747764587402
56,2800,-50.0,50.0,5.3339011669158936
57,2850,-50.0,50.0,5.412446975708008
58,2900,-50.0,50.0,5.4897141456604
59,2950,-50.0,50.0,5.5811767578125
60,3000,-50.0,50.0,5.672807693481445
61,3050,-50.0,50.0,5.768092632293701
62,3100,-50.0,50.0,5.854072570800781
63,3150,-50.0,50.0,5.940515041351318
64,3200,-50.0,50.0,6.026743412017822
65,3250,-50.0,50.0,6.125373601913452
66,3300,-50.0,50.0,6.2135169506073
67,3350,-50.0,50.0,6.32175087928772
68,3400,-50.0,50.0,6.407973051071167
69,3450,-50.0,50.0,6.497480869293213
70,3500,-50.0,50.0,6.612517595291138
71,3550,-50.0,50.0,6.715518236160278
72,3600,-50.0,50.0,6.822710275650024
73,3650,-50.0,50.0,6.933750867843628
74,3700,-50.0,50.0,7.056182622909546
75,3750,-50.0,50.0,7.168111562728882
76,3800,-50.0,50.0,7.26871919631958
77,3850,-50.0,50.0,7.354694366455078
78,3900,-50.0,50.0,7.454832315444946
79,3950,-50.0,50.0,7.54188346862793
80,4000,-50.0,50.0,7.625326871871948
81,4050,-50.0,50.0,7.708927154541016
82,4100,-50.0,50.0,7.789945602416992
83,4150,-50.0,50.0,7.874767780303955
84,4200,-50.0,50.0,7.971284866333008
85,4250,-50.0,50.0,8.056127309799194
86,4300,-50.0,50.0,8.139747858047485
87,4350,-50.0,50.0,8.225487232208252
88,4400,-50.0,50.0,8.323385238647461
89,4450,-50.0,50.0,8.402173519134521
90,4500,-50.0,50.0,8.496771097183228
91,4550,-50.0,50.0,8.57935881614685
92,4600,-50.0,50.0,8.669466018676758
93,4650,-50.0,50.0,8.770348072052002
94,4700,-50.0,50.0,8.856125593185425
95,4750,-50.0,50.0,8.94648814201355
96,4800,-50.0,50.0,9.030528545379639
97,4850,-50.0,50.0,9.116811990737915
98,4900,-50.0,50.0,9.209725856781006
99,4950,-50.0,50.0,9.301900863647461
100,5000,-50.0,50.0,9.393738985061646
101,5050,-50.0,50.0,12.646458864212036
102,5100,-50.0,50.0,14.119625806808472
103,5150,-50.0,50.0,15.729012250900269
104,5200,-50.0,50.0,17.326093196868896
105,5250,-50.0,50.0,19.257415533065796
106,5300,-50.0,50.0,21.111903190612793
107,5350,-50.0,50.0,22.98134756088257
108,5400,-50.0,50.0,24.70613193511963
109,5450,-50.0,50.0,26.48682427406311
110,5500,-50.0,50.0,28.041864156723022
111,5550,-50.0,50.0,29.777628660202026
112,5600,-50.0,50.0,31.405903100967407
113,5650,-50.0,50.0,32.964258432388306
114,5700,-50.0,50.0,34.700780391693115
115,5750,-50.0,50.0,36.56538391113281
116,5800,-50.0,50.0,38.48494482040405
117,5850,-50.0,50.0,40.654091358184814
118,5900,-50.0,50.0,42.30230093002319
119,5950,-50.0,50.0,44.04998016357422
120,6000,-50.0,50.0,45.72745871543884
121,6050,-50.0,50.0,47.31174325942993
122,6100,-50.0,50.0,48.89538884162903
123,6150,-50.0,50.0,50.582942724227905
124,6200,-50.0,50.0,52.13200783729553
125,6250,-50.0,50.0,53.771103620529175
126,6300,-50.0,50.0,55.35994482040405
127,6350,-50.0,50.0,56.909698486328125
128,6400,-50.0,50.0,58.57788944244385
129,6450,-50.0,50.0,60.16231298446655
130,6500,-50.0,50.0,61.797382831573486
131,6550,-50.0,50.0,63.59119892120361
132,6600,-50.0,50.0,65.1629912853241
133,6650,-50.0,50.0,66.6774275302887
134,6700,-50.0,50.0,68.34435796737671
135,6750,-50.0,50.0,69.9655327796936
136,6800,-50.0,50.0,71.59146928787231
137,6850,-50.0,50.0,73.22658514976501
138,6900,-50.0,50.0,74.86578726768494
139,6950,-50.0,50.0,76.4629385471344
140,7000,-50.0,50.0,78.11752438545227
141,7050,-50.0,50.0,79.75640892982483
142,7100,-50.0,50.0,81.35761880874634
143,7150,-50.0,50.0,82.99168586730957
144,7200,-50.0,50.0,84.54184937477112
145,7250,-50.0,50.0,86.16739892959595
146,7300,-50.0,50.0,87.83619999885559
147,7350,-50.0,50.0,89.53344249725342
148,7400,-50.0,50.0,91.51921701431274
149,7450,-50.0,50.0,93.39558243751526
150,7500,-50.0,50.0,94.89579486846924
151,7550,-50.0,50.0,96.48718190193176
152,7600,-50.0,50.0,98.07599377632141
153,7650,-50.0,50.0,99.58224272727966
154,7700,-50.0,50.0,101.61539888381958
155,7750,-50.0,50.0,103.73227882385254
156,7800,-50.0,50.0,105.42622685432434
157,7850,-50.0,50.0,106.95351934432983
158,7900,-50.0,50.0,108.35868263244629
159,7950,-50.0,50.0,109.7853753566742
160,8000,-50.0,50.0,111.48077654838562
161,8050,-50.0,50.0,112.93904972076416
162,8100,-50.0,50.0,114.33571577072144
163,8150,-50.0,50.0,115.838858127594
164,8200,-50.0,50.0,117.42227554321289
165,8250,-50.0,50.0,118.98008275032043
166,8300,-50.0,50.0,120.47438025474548
167,8350,-50.0,50.0,121.92735838890076
168,8400,-50.0,50.0,123.42723202705383
169,8450,-50.0,50.0,124.88128113746643
170,8500,-50.0,50.0,126.29806923866272
171,8550,-50.0,50.0,127.66946291923523
172,8600,-50.0,50.0,129.3319263458252
173,8650,-50.0,50.0,130.94158005714417
174,8700,-50.0,50.0,132.37602376937866
175,8750,-50.0,50.0,133.95226430892944
176,8800,-50.0,50.0,135.5501744747162
177,8850,-50.0,50.0,136.9385793209076
178,8900,-50.0,50.0,138.3641848564148
179,8950,-50.0,50.0,139.79396224021912
180,9000,-50.0,50.0,141.34855222702026
181,9050,-50.0,50.0,142.84010410308838
182,9100,-50.0,50.0,144.34227013587952
183,9150,-50.0,50.0,145.81891441345215
184,9200,-50.0,50.0,147.46969747543335
185,9250,-50.0,50.0,148.90177726745605
186,9300,-50.0,50.0,150.35093545913696
187,9350,-50.0,50.0,151.85324931144714
188,9400,-50.0,50.0,153.31770873069763
189,9450,-50.0,50.0,154.70592617988586
190,9500,-50.0,50.0,156.17507672309875
191,9550,-50.0,50.0,157.5313377380371
192,9600,-50.0,50.0,159.012109041214
193,9650,-50.0,50.0,160.52115678787231
194,9700,-50.0,50.0,161.9167501926422
195,9750,-50.0,50.0,163.38223457336426
196,9800,-50.0,50.0,165.36144733428955
197,9850,-50.0,50.0,167.21379923820496
198,9900,-50.0,50.0,168.8683135509491
199,9950,-50.0,50.0,170.4489529132843
200,10000,-50.0,50.0,171.87527060508728
201,10050,-50.0,50.0,174.713148355484
202,10100,-50.0,50.0,176.13029098510742
203,10150,-50.0,50.0,177.58938837051392
204,10200,-50.0,50.0,179.13867592811584
205,10250,-50.0,50.0,180.58812141418457
206,10300,-50.0,50.0,182.03387689590454
207,10350,-50.0,50.0,183.65602707862854
208,10400,-50.0,50.0,185.1192388534546
209,10450,-50.0,50.0,186.54787755012512
210,10500,-50.0,50.0,188.0758032798767
211,10550,-50.0,50.0,189.55938172340393
212,10600,-50.0,50.0,190.98285722732544
213,10650,-50.0,50.0,192.52542901039124
214,10700,-50.0,50.0,194.0241310596466
215,10750,-50.0,50.0,195.51161646842957
216,10800,-50.0,50.0,197.11101841926575
217,10850,-50.0,50.0,198.5330560207367
218,10900,-50.0,50.0,200.00751066207886
219,10950,-50.0,50.0,201.49024319648743
220,11000,-50.0,50.0,202.98480892181396
221,11050,-50.0,50.0,204.58232402801514
222,11100,-50.0,50.0,206.09575057029724
223,11150,-50.0,50.0,207.5314974784851
224,11200,-50.0,50.0,209.01922249794006
225,11250,-50.0,50.0,210.50528192520142
226,11300,-50.0,50.0,212.00596833229065
227,11350,-50.0,50.0,213.48237538337708
228,11400,-50.0,50.0,215.11526346206665
229,11450,-50.0,50.0,216.580801486969
230,11500,-50.0,50.0,218.05447006225586
231,11550,-50.0,50.0,219.59343910217285
232,11600,-50.0,50.0,221.07037806510925
233,11650,-50.0,50.0,222.53284668922424
234,11700,-50.0,50.0,224.0675790309906
235,11750,-50.0,50.0,225.5306751728058
236,11800,-50.0,50.0,226.96432423591614
237,11850,-50.0,50.0,228.54315328598022
238,11900,-50.0,50.0,230.28650093078613
239,11950,-50.0,50.0,232.20585227012634
240,12000,-50.0,50.0,233.95991230010986
241,12050,-50.0,50.0,235.54412579536438
242,12100,-50.0,50.0,237.1497459411621
243,12150,-50.0,50.0,239.51690340042114
244,12200,-50.0,50.0,241.90262389183044
245,12250,-50.0,50.0,244.37330627441406
246,12300,-50.0,50.0,246.44730496406555
247,12350,-50.0,50.0,248.97286868095398
248,12400,-50.0,50.0,250.69246339797974
249,12450,-50.0,50.0,252.23313522338867
250,12500,-50.0,50.0,253.77903771400452
251,12550,-50.0,50.0,255.2941951751709
252,12600,-50.0,50.0,256.7684075832367
253,12650,-50.0,50.0,258.3158538341522
254,12700,-50.0,50.0,259.7838513851166
255,12750,-50.0,50.0,261.19859170913696
256,12800,-50.0,50.0,262.65397667884827
257,12850,-50.0,50.0,264.13531947135925
258,12900,-50.0,50.0,265.56376814842224
259,12950,-50.0,50.0,267.15242075920105
260,13000,-50.0,50.0,268.5903024673462
261,13050,-50.0,50.0,270.03663516044617
262,13100,-50.0,50.0,271.53836941719055
263,13150,-50.0,50.0,272.962988615036
264,13200,-50.0,50.0,274.4185724258423
265,13250,-50.0,50.0,275.99935817718506
266,13300,-50.0,50.0,277.39460134506226
267,13350,-50.0,50.0,278.749472618103
268,13400,-50.0,50.0,280.24346470832825
269,13450,-50.0,50.0,281.65230441093445
270,13500,-50.0,50.0,283.0866656303406
271,13550,-50.0,50.0,284.5903203487396
272,13600,-50.0,50.0,286.0392818450928
273,13650,-50.0,50.0,287.39305114746094
274,13700,-50.0,50.0,288.8891351222992
275,13750,-50.0,50.0,290.2657198905945
276,13800,-50.0,50.0,291.6357889175415
277,13850,-50.0,50.0,293.0900447368622
278,13900,-50.0,50.0,294.48217010498047
279,13950,-50.0,50.0,295.846378326416
280,14000,-50.0,50.0,297.2994337081909
281,14050,-50.0,50.0,298.7215316295624
282,14100,-50.0,50.0,300.0617995262146
283,14150,-50.0,50.0,301.5665490627289
284,14200,-50.0,50.0,303.0094714164734
285,14250,-50.0,50.0,304.34107542037964
286,14300,-45.0,50.0,305.78420090675354
287,14350,-50.0,50.0,307.23504734039307
288,14400,-50.0,50.0,308.63204765319824
289,14450,-50.0,50.0,310.1829433441162
290,14500,-50.0,50.0,311.60935974121094
291,14550,-50.0,50.0,312.9672255516052
292,14600,-50.0,50.0,314.4735679626465
293,14650,-50.0,50.0,315.94026494026184
294,14700,-50.0,50.0,317.3581931591034
295,14750,-50.0,50.0,318.88800597190857
296,14800,-50.0,50.0,320.27864623069763
297,14850,-50.0,50.0,321.6520676612854
298,14900,-50.0,50.0,323.14260625839233
299,14950,-50.0,50.0,324.55889344215393
300,15000,-50.0,50.0,326.0066637992859
301,15050,-50.0,50.0,328.9527325630188
302,15100,-50.0,50.0,330.3553831577301
303,15150,-50.0,50.0,331.9099247455597
304,15200,-50.0,50.0,333.234361410141
305,15250,-50.0,50.0,334.6169469356537
306,15300,-50.0,50.0,336.1252179145813
307,15350,-50.0,50.0,337.473837852478
308,15400,-50.0,50.0,338.8760175704956
309,15450,-50.0,50.0,340.5406084060669
310,15500,-50.0,50.0,341.94642519950867
311,15550,-50.0,50.0,343.37868428230286
312,15600,-50.0,50.0,344.8491704463959
313,15650,-50.0,50.0,346.2462854385376
314,15700,-50.0,50.0,347.66634368896484
315,15750,-50.0,50.0,349.1342604160309
316,15800,-50.0,50.0,350.526260137558
317,15850,-50.0,50.0,352.01870036125183
318,15900,-50.0,50.0,353.7785189151764
319,15950,-50.0,50.0,355.2169613838196
320,16000,-50.0,50.0,356.6029272079468
321,16050,-50.0,50.0,358.0083556175232
322,16100,-50.0,50.0,359.40018582344055
323,16150,-50.0,50.0,360.90775632858276
324,16200,-50.0,50.0,362.3561153411865
325,16250,-50.0,50.0,363.7227785587311
326,16300,-50.0,50.0,365.11609840393066
327,16350,-50.0,50.0,366.6811616420746
328,16400,-50.0,50.0,368.0624134540558
329,16450,-50.0,50.0,369.4721119403839
330,16500,-50.0,50.0,370.88343334198
331,16550,-50.0,50.0,372.3039209842682
332,16600,-50.0,50.0,373.9169135093689
333,16650,-50.0,50.0,375.3162739276886
334,16700,-50.0,50.0,376.67528533935547
335,16750,-50.0,50.0,378.32162523269653
336,16800,-50.0,50.0,379.87332224845886
337,16850,-50.0,50.0,381.31805181503296
338,16900,-50.0,50.0,382.95448184013367
339,16950,-50.0,50.0,384.4658715724945
340,17000,-50.0,50.0,385.9179208278656
341,17050,-50.0,50.0,387.51281213760376
342,17100,-50.0,50.0,389.0964448451996
343,17150,-50.0,50.0,390.69076132774353
344,17200,0.0,50.0,392.529913187027
345,17250,-50.0,50.0,393.96897983551025
346,17300,-50.0,50.0,395.41650891304016
347,17350,-50.0,50.0,396.8805561065674
348,17400,-50.0,50.0,398.1996338367462
349,17450,-50.0,50.0,399.8295862674713
350,17500,-50.0,50.0,401.64789843559265
351,17550,-50.0,50.0,403.39389300346375
352,17600,-50.0,50.0,405.0587031841278
353,17650,-50.0,50.0,406.749951839447
354,17700,-50.0,50.0,408.3981204032898
355,17750,-50.0,50.0,410.07234740257263
356,17800,-50.0,50.0,411.6441373825073
357,17850,-50.0,50.0,413.17453026771545
358,17900,-50.0,50.0,414.7039144039154
359,17950,-50.0,50.0,416.0622832775116
360,18000,-50.0,50.0,417.324609041214
361,18050,-50.0,50.0,418.7182788848877
362,18100,-50.0,50.0,420.06301641464233
363,18150,-50.0,50.0,421.35763335227966
364,18200,-50.0,50.0,422.82980489730835
365,18250,-50.0,50.0,424.1867980957031
366,18300,-50.0,50.0,425.45023918151855
367,18350,-50.0,50.0,426.8560211658478
368,18400,-50.0,50.0,428.28068685531616
369,18450,-50.0,50.0,429.6191740036011
370,18500,-50.0,50.0,431.1789903640747
371,18550,-50.0,50.0,432.4916408061981
372,18600,-50.0,50.0,433.78067994117737
373,18650,-50.0,50.0,435.15447545051575
374,18700,-50.0,50.0,436.4600009918213
375,18750,-50.0,50.0,437.7466802597046
