episode,step,episodic_return,episode_length,elapsed_sec
1,50,-40.67685549159434,50.0,0.06354761123657227
2,100,-15.24355251958532,50.0,0.12609386444091797
3,150,-32.6048410269977,50.0,0.1932237148284912
4,200,-34.93555712055043,50.0,0.24807095527648926
5,250,-43.24518519781779,50.0,0.30055809020996094
6,300,-16.87989880323779,50.0,0.35674428939819336
7,350,-37.59257388434825,50.0,0.4085385799407959
8,400,-16.680293515810078,50.0,0.458193302154541
9,450,-15.228605415035467,50.0,0.5083739757537842
10,500,-18.471358620017966,50.0,0.5590171813964844
11,550,-29.219099938534566,50.0,0.61220383644104
12,600,-25.60376824005662,50.0,0.6662921905517578
13,650,-15.292703507671153,50.0,0.7188479900360107
14,700,-14.339454613205497,50.0,0.7735860347747803
15,750,-28.902156587174915,50.0,0.8242385387420654
16,800,-25.118050964966514,50.0,0.8781065940856934
17,850,-38.65819291014149,50.0,0.9307587146759033
18,900,-41.62984791446155,50.0,0.9844682216644287
19,950,-33.09266054180999,50.0,1.0407867431640625
20,1000,-30.830935265882218,50.0,1.0943832397460938
21,1050,-15.928805181000076,50.0,1.1490108966827393
22,1100,-31.83043818332384,50.0,1.2001957893371582
23,1150,-12.521758971157695,50.0,1.254340410232544
24,1200,-30.07295383212245,50.0,1.3110277652740479
25,1250,-22.721398588536218,50.0,1.3647263050079346
26,1300,-30.88365556004578,50.0,1.4209771156311035
27,1350,-17.31947963617685,50.0,1.4710006713867188
28,1400,-26.70707318724073,50.0,1.5261616706848145
29,1450,-35.616861916418664,50.0,1.5783436298370361
30,1500,-32.429799754794665,50.0,1.6325132846832275
31,1550,-35.907858558842584,50.0,1.6857073307037354
32,1600,-37.50866269015563,50.0,1.737361192703247
33,1650,-36.34501498273353,50.0,1.79054856300354
34,1700,-26.198253095242112,50.0,1.8437108993530273
35,1750,-34.55187449860948,50.0,1.8979003429412842
36,1800,-17.168608854917697,50.0,1.9495091438293457
37,1850,-15.211656519349603,50.0,2.0025484561920166
38,1900,-26.487247424811915,50.0,2.0583930015563965
39,1950,-37.39860425758486,50.0,2.1151559352874756
40,2000,-16.692594346888676,50.0,2.166921615600586
41,2050,-15.476215987139948,50.0,2.2209153175354004
42,2100,-45.653005072660015,50.0,2.2768027782440186
